uniprot	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7XKA2	1.91E-07	2.93E-07	9.63E-08	1.56E-07	4.72E-08	3.87E-08	3.26E-08	3.47E-08	4.60E-09		3.14E-08	5.60E-08
M7X0W8	1.60E-07	9.11E-08	5.60E-08	5.51E-08	7.87E-08	8.52E-08	5.03E-08	5.80E-08	1.46E-07	1.37E-07	5.47E-08	6.19E-08
M7WNT1	4.61E-07	4.52E-07	1.85E-07	2.07E-07	9.41E-08	1.07E-07	1.27E-07	1.68E-07	6.28E-08	5.83E-08	1.84E-07	1.87E-07
M7X302	8.98E-08	1.79E-07	6.18E-08	5.28E-08	8.23E-08	7.19E-08	9.16E-08	1.08E-07	5.54E-08	3.12E-08	1.05E-07	1.18E-07
M7XWQ0	3.58E-07	3.71E-07	1.82E-07	2.42E-07	2.47E-07	2.96E-07	1.68E-07	1.75E-07	4.76E-07	4.25E-07	3.10E-07	2.41E-07
M7XZL7	3.16E-07	3.22E-07		9.87E-08	2.41E-07	2.43E-07	1.54E-07	1.25E-07	4.40E-07	4.95E-07	1.36E-07	1.27E-07
M7WPZ4				1.17E-06	3.32E-06	5.36E-06	2.79E-06	1.87E-06			1.36E-06	1.09E-06
M7WQR1		1.90E-07	1.03E-07	9.01E-08	1.39E-07	2.11E-07	1.14E-07	9.93E-08			1.10E-07	9.46E-08
M7WWT1	1.17E-07	1.30E-07	6.36E-08	2.12E-07	2.75E-07	2.54E-07	1.71E-07	1.40E-07	4.46E-07	4.04E-07	9.19E-08	1.18E-07
M7XMF9		5.87E-07		2.41E-07	2.36E-07	2.49E-07	2.55E-07	2.29E-07			3.11E-07	3.13E-07
M7XQE0	7.32E-08	5.32E-08	2.57E-08	3.54E-08	3.92E-08	5.74E-08	2.81E-08	2.60E-08	8.70E-08	9.15E-08	2.89E-08	2.61E-08
M7XJ39	5.68E-07	4.57E-07	2.32E-07	3.97E-07	5.65E-07	4.46E-07	2.95E-07	2.22E-07	8.24E-07	6.62E-07	1.52E-07	1.73E-07
M7WPG7	8.00E-08	1.11E-07		5.35E-08	1.74E-07	1.93E-07	1.38E-07	1.30E-07			6.23E-08	3.21E-08
M7X109	3.25E-07	4.01E-07		1.14E-07	2.24E-07	2.66E-07	1.27E-07	1.09E-07	6.19E-07		1.64E-07	1.20E-07
M7WPA9	1.48E-07	1.24E-07	4.85E-08	4.46E-08	9.02E-08	8.85E-08	7.86E-08	7.59E-08	2.31E-07	2.22E-07	6.73E-08	3.99E-08
M7X518	5.06E-08	6.04E-08	2.49E-08	2.40E-08	7.36E-08	6.34E-08	3.56E-08	3.13E-08	7.96E-08	9.16E-08	1.94E-08	2.52E-08
M7WW93	1.51E-07	1.62E-07	7.34E-08	5.38E-08	9.19E-08	8.80E-08	7.16E-08	5.46E-08	8.89E-08	1.29E-07	7.05E-08	6.15E-08
M7WN16	3.62E-07	3.27E-07	1.71E-07	1.67E-07		2.18E-07	1.74E-07	1.09E-07	3.68E-07	3.34E-07	1.12E-07	7.70E-08
M7XED6	2.18E-07	1.53E-07	1.13E-07	1.01E-07	1.59E-07	1.47E-07	1.19E-07	8.32E-08	1.82E-07	1.97E-07	1.48E-07	1.37E-07
M7XFF4	1.14E-07			1.18E-07							1.22E-07	1.34E-07
M7WXZ0	3.59E-07	3.58E-07		1.15E-07	9.81E-08	1.98E-07		9.39E-08	3.24E-07	3.04E-07	1.18E-07	8.84E-08
M7XY00	1.50E-07	1.18E-07	9.64E-08	1.31E-07	2.75E-07	3.30E-07	2.02E-07	1.75E-07	3.74E-07	3.64E-07	1.87E-07	1.44E-07
M7WNB5	5.23E-07	4.17E-07		6.73E-08	1.57E-07	2.06E-07	1.06E-07	8.20E-08	7.69E-07	4.83E-07	5.89E-08	4.04E-08
M7X711	2.59E-07	1.97E-07	2.25E-07	2.04E-07	2.98E-07	3.78E-07	2.51E-07	2.72E-07	7.31E-07	8.36E-07	3.26E-07	2.21E-07
M7XT98		5.39E-07		1.97E-07	3.19E-07	3.34E-07	2.56E-07	2.03E-07			2.68E-07	2.65E-07
M7WLW1	1.05E-07	8.99E-08	9.70E-08	1.13E-07	1.16E-07	1.43E-07	9.50E-08	8.93E-08	1.67E-07	1.68E-07	1.46E-07	1.19E-07
M7WI49		4.65E-07		1.21E-07	4.90E-07	5.17E-07	2.51E-07	2.58E-07	9.76E-07	8.08E-07	1.49E-07	1.37E-07
M7X663		4.93E-07		2.09E-07		2.41E-07		1.48E-07			2.29E-07	1.91E-07
M7XVQ9	2.33E-07	1.30E-07	1.04E-07	1.07E-07	3.20E-07	2.98E-07	1.42E-07	1.20E-07	3.64E-07	3.38E-07	1.39E-07	8.82E-08
M7XUV9	1.64E-06	1.53E-06		5.96E-07	2.78E-07	2.56E-07	2.49E-07	1.17E-07	3.34E-07		5.93E-07	5.72E-07
M7XN07		3.92E-07		3.09E-07	3.32E-07	3.58E-07	3.06E-07	2.77E-07			3.55E-07	2.38E-07
M7XL11	3.26E-07	4.11E-07	1.64E-07	1.24E-07	1.63E-07	1.08E-07	9.41E-08	7.86E-08	2.17E-07	2.08E-07	1.79E-07	1.10E-07
M7XNE0	1.89E-08	2.55E-08	1.42E-08	2.12E-08	3.18E-08	2.77E-08	2.74E-08	2.94E-08	4.71E-08	2.42E-08	1.26E-08	1.24E-08
M7XKN2	5.19E-07	5.66E-07		3.86E-07	4.17E-07	4.78E-07	3.09E-07	2.46E-07			4.87E-07	4.21E-07
M7WVH2	1.76E-07	1.72E-07	1.05E-07	1.40E-07	1.61E-07	1.50E-07	1.19E-07	9.42E-08	2.12E-07	2.20E-07	1.40E-07	8.51E-08
M7X3B2	4.10E-07	2.94E-07		3.03E-07	3.42E-07	3.62E-07	1.62E-07	1.91E-07	1.04E-06	9.68E-07	2.31E-07	1.93E-07
M7WUX9	2.18E-07	1.58E-07	6.87E-08	7.20E-08	7.86E-07	6.92E-07	4.01E-07	2.98E-07	9.38E-07	8.26E-07	1.54E-07	1.65E-07
M7WTJ2	9.41E-07	3.06E-07	3.82E-07	2.69E-07	4.48E-07	2.85E-07	4.00E-07	3.49E-07	7.20E-07	7.30E-07	3.39E-07	3.53E-07
M7WWB7		4.10E-08	1.04E-07	2.06E-08		1.58E-08	1.54E-07	3.44E-08	2.48E-08		5.28E-08	4.44E-08
M7WX59	1.57E-07	1.84E-07		9.19E-08	8.93E-08	9.51E-08	7.19E-08	7.03E-08		1.71E-07	8.28E-08	6.94E-08
M7XHW6	1.13E-07	1.23E-07		1.14E-07	1.14E-07	1.12E-07	9.47E-08	7.00E-08	2.10E-07	2.62E-07	1.12E-07	1.12E-07
M7XMB1	7.85E-08	4.95E-08	4.89E-08	5.06E-08	2.70E-07	2.89E-07	1.48E-07	1.07E-07	3.68E-07	3.01E-07	7.15E-08	6.51E-08
M7X6N8	2.37E-07	1.86E-07	1.02E-07	9.23E-08	1.12E-07	1.24E-07	7.04E-08	7.06E-08	2.61E-07	2.47E-07	1.04E-07	9.93E-08
M7X0J9	2.57E-07	1.82E-07	7.83E-08	8.01E-08	8.25E-08	7.52E-08	4.89E-08	4.18E-08	1.23E-07	1.72E-07	5.53E-08	4.20E-08
M7X0S1	1.49E-07	2.03E-07	1.01E-07	9.52E-08	2.48E-07	1.73E-07	1.46E-07	1.19E-07	2.31E-07	2.38E-07	1.50E-07	1.26E-07
M7WJ30	2.56E-07	2.65E-07	8.94E-08	1.47E-07	2.68E-07	2.10E-07	2.05E-07	1.21E-07			1.40E-07	1.15E-07
M7WFK5	3.65E-07	3.76E-07		1.68E-07	2.60E-07	2.72E-07	2.54E-07	1.64E-07	6.17E-07	5.44E-07	1.77E-07	2.03E-07
M7WQU7	3.29E-07	3.59E-07	2.77E-07	1.52E-07	3.87E-07	4.94E-07	4.02E-07	1.65E-07	5.12E-07	5.35E-07	1.39E-07	1.32E-07
M7XNT5	6.43E-07	5.65E-07	1.67E-07	1.43E-07	3.36E-07	3.24E-07	1.80E-07	1.76E-07	2.60E-07	2.99E-07	1.15E-07	1.17E-07
M7WMD1		5.08E-07		5.32E-07	2.72E-07	2.65E-07	2.47E-07	2.64E-07	2.98E-07	4.99E-07	4.20E-07	6.21E-07
M7WSB4	1.04E-07	1.27E-07	4.58E-08	6.38E-08	1.59E-07	2.54E-07	1.34E-07	6.01E-08	2.30E-07	2.10E-07	1.18E-07	1.04E-07
M7XDY7	2.23E-07	2.17E-07	1.24E-07	1.18E-07	2.23E-07	2.68E-07	1.48E-07	1.22E-07	3.58E-07	3.68E-07	1.60E-07	1.55E-07
M7XMB0	1.41E-07	1.14E-07	3.79E-08	3.41E-08	7.89E-08	1.05E-07	5.30E-08	4.90E-08	2.08E-07	2.17E-07	5.19E-08	3.34E-08
M7XLP8		5.56E-08	8.84E-08	6.13E-08	1.15E-07	1.09E-07	7.97E-08	9.04E-08	2.10E-07	2.30E-07	9.62E-08	9.67E-08
M7XQB5		4.05E-07		1.43E-07	2.71E-07	3.51E-07	1.41E-07	2.10E-07	3.76E-07	4.83E-07	2.15E-07	2.13E-07
M7WZB1	1.95E-07	1.04E-07		2.59E-08	1.98E-07	2.12E-07	8.96E-08	9.31E-08	2.87E-07	2.87E-07		3.05E-08
M7X6J3	1.30E-07	1.77E-07	9.74E-08	8.89E-08	5.92E-08	8.36E-08	1.04E-07	8.33E-08	1.14E-07	1.21E-07	1.06E-07	8.25E-08
M7XET6	1.86E-06	1.88E-06	7.71E-07	7.17E-07	2.16E-06	2.35E-06	1.05E-06	1.16E-06	2.12E-06	1.85E-06	8.74E-07	6.92E-07
M7WU89		3.18E-07		1.04E-07	5.51E-07	7.81E-07	3.22E-07	3.60E-07			2.65E-07	2.04E-07
M7WXI0	4.44E-08	2.35E-08	4.48E-08	3.96E-08	3.29E-08	3.47E-08	4.17E-08	3.33E-08	9.65E-08	9.10E-08	2.89E-08	3.94E-08
M7WNC0	6.32E-07	6.35E-07	1.33E-07	1.02E-07	7.79E-08		5.50E-08	5.43E-08	1.28E-07		4.95E-08	4.19E-08
M7WZG4	1.75E-07	1.99E-07		6.41E-08	1.10E-07	1.13E-07	5.45E-08	7.51E-08			6.74E-08	5.85E-08
M7X610	3.30E-07	3.84E-07		2.22E-07	1.95E-07	2.00E-07		1.59E-07			2.45E-07	2.06E-07
M7XLB5	5.51E-07	3.52E-07		1.72E-07	1.97E-07	2.49E-07	1.40E-07	1.67E-07			1.40E-07	1.38E-07
M7WTY3	8.57E-08	8.29E-08	3.62E-08	7.46E-08	3.00E-08	4.54E-08	1.04E-07	7.86E-08	1.91E-07	1.88E-07	1.42E-07	1.45E-07
M7WXE4	3.28E-07	3.38E-07	1.38E-07	1.32E-07	2.41E-07	3.07E-08	1.74E-07		3.57E-07	3.52E-07	1.58E-07	1.19E-07
M7WMY6		3.05E-07		1.21E-07	2.61E-07	3.54E-07	2.11E-07	2.32E-07			1.18E-07	1.11E-07
M7XF71	6.60E-08	7.05E-08	3.51E-08	2.57E-08	2.12E-08	3.21E-08	2.95E-08	2.99E-08	6.88E-08	7.04E-08	3.70E-08	3.06E-08
M7XLN1	3.70E-07	3.12E-07		2.83E-07	2.08E-07	1.73E-07	2.24E-07	1.82E-07	3.57E-07	3.65E-07	2.58E-07	3.42E-07
M7X201	1.96E-07	1.10E-07	7.76E-08	1.38E-07	1.65E-07	2.17E-07	1.30E-07	1.17E-07	3.15E-07	3.02E-07	1.34E-07	1.24E-07
M7WLG0	4.26E-08	3.90E-08	9.99E-08	9.44E-08	1.20E-07	1.40E-07	1.09E-07	7.42E-08			1.03E-07	9.57E-08
M7WQG2	1.78E-07	2.15E-07	9.54E-08	1.26E-07	2.04E-07	2.26E-07	2.13E-07	1.45E-07	3.12E-07	2.41E-07	1.62E-07	1.07E-07
M7XYR8	4.64E-07	5.19E-07	2.88E-07	2.54E-07	2.45E-07	2.69E-07	2.06E-07	2.15E-07	5.20E-07	4.27E-07	2.28E-07	2.09E-07
M7XL28	3.48E-07	3.08E-07		1.25E-07	2.45E-07	2.42E-07	1.90E-07	1.74E-07	4.95E-07	4.34E-07	1.96E-07	1.65E-07
M7XIV0	7.00E-08	5.84E-08	4.83E-08	4.06E-08	7.54E-08	8.24E-08	5.17E-08	3.94E-08	1.40E-07	1.54E-07	5.25E-08	3.26E-08
M7XB15	1.52E-07	1.54E-07	8.34E-08	9.86E-08	7.69E-08	9.69E-08	7.64E-08	6.92E-08	1.47E-07	1.31E-07	1.23E-07	9.50E-08
M7XZ85	2.22E-07	2.60E-07	1.09E-07	1.15E-07	1.07E-07	8.85E-08	7.74E-08	7.65E-08		1.88E-07	1.08E-07	8.87E-08
M7X3Y5	1.29E-07	1.29E-07	4.37E-08	4.45E-08	6.96E-08	7.42E-08	3.93E-08	4.06E-08	1.76E-07	1.56E-07	6.19E-08	4.34E-08
M7XS74		4.61E-07		2.31E-07	2.63E-07	2.99E-07	2.49E-07	1.96E-07			2.21E-07	2.56E-07
M7WP67	4.35E-08	1.02E-07		3.75E-08	6.10E-08	9.03E-08	4.39E-08	3.14E-08			3.78E-08	2.97E-08
M7WW52	5.81E-08	2.37E-08	2.87E-08	3.00E-08	6.31E-08	5.06E-08	2.89E-08	2.34E-08	1.16E-07	9.93E-08	1.88E-08	2.31E-08
M7XFR4	8.06E-08	5.63E-08	3.48E-08	5.47E-08	7.64E-08	7.06E-08	4.18E-08	3.52E-08	1.41E-07	1.29E-07	3.66E-08	3.93E-08
M7X6F0	3.26E-07	3.47E-07		5.49E-08	1.67E-07	1.72E-07		9.18E-08			8.10E-08	6.83E-08
M7WZ08		8.36E-07		1.28E-06	6.72E-07	7.02E-07	3.14E-07	4.63E-07			3.45E-07	3.15E-07
M7WPB8	1.82E-07	1.48E-07		1.53E-07		1.73E-07		6.87E-08	2.40E-07	1.84E-07	1.59E-07	1.62E-07
M7WLV7	2.81E-07	3.24E-07	1.34E-07	1.70E-07	1.63E-07	1.70E-07	1.12E-07	8.81E-08	1.95E-07	2.88E-07		1.87E-07
M7XZP5	1.20E-07	1.20E-07	3.76E-08	4.42E-08	1.00E-07	1.03E-07	7.35E-08	5.54E-08	2.22E-07	2.23E-07	4.64E-08	3.96E-08
M7WLE1	2.64E-07	3.11E-07	1.57E-07	1.47E-07	9.62E-08	7.00E-08	3.73E-08		5.45E-08	2.12E-08	7.03E-08	4.34E-08
M7X3Y6		2.30E-07	3.24E-07	2.03E-07	1.74E-07	2.95E-08	8.59E-08	1.37E-07	4.22E-07	3.85E-07	3.06E-07	
M7WNN2	1.16E-07	1.38E-07	4.20E-08	4.41E-08	5.70E-08	6.72E-08	5.26E-08	3.80E-08	8.25E-08	9.14E-08	4.90E-08	4.12E-08
M7WWC5	7.38E-08	1.00E-07		5.53E-08	7.74E-08	6.76E-08	4.50E-08	3.98E-08	1.40E-07	9.74E-08	7.31E-08	5.74E-08
M7XEB5	4.52E-07	2.89E-07	1.53E-07	2.01E-07	2.11E-07	2.52E-07	2.57E-07	1.81E-07	3.91E-07	4.60E-07	2.11E-07	1.31E-07
M7XQJ6	1.35E-07	1.09E-07		7.13E-08	1.30E-07	1.13E-07	7.99E-08	6.70E-08	2.62E-07	2.01E-07	7.42E-08	7.13E-08
M7XPR8	1.52E-07	9.74E-08		4.67E-08	5.76E-08	5.51E-08	4.20E-08	3.38E-08	1.07E-07		3.93E-08	4.08E-08
M7WG30		6.88E-09	6.10E-08	4.90E-08	8.11E-08	5.93E-08	5.23E-08	3.77E-08	1.23E-07	1.27E-07	6.28E-08	5.37E-08
M7WND2		2.75E-07			3.40E-07	4.52E-07	2.32E-07	2.80E-07			9.29E-08	1.65E-07
M7WPU4	1.58E-07	1.71E-07	9.20E-08	8.11E-08	1.75E-07	1.47E-07	1.41E-07	1.03E-07	2.86E-07	2.58E-07	1.05E-07	1.05E-07
M7WVU9	1.15E-07	9.98E-08	4.55E-08	4.38E-08	4.83E-08	6.10E-08	4.45E-08	4.16E-08	8.98E-08	9.57E-08	4.68E-08	3.98E-08
M7X2T5	7.90E-07	7.13E-07	5.67E-07	4.62E-07	7.91E-07	8.28E-07	6.35E-07	6.27E-07	8.65E-07	1.11E-06	6.35E-07	4.70E-07
M7WR15	2.65E-07	2.47E-07		7.81E-08	2.89E-07	9.55E-08	9.31E-08				9.08E-08	7.30E-08
M7WXE3	7.97E-08	8.19E-08		5.75E-08	1.14E-07	8.29E-08	4.79E-08	6.85E-08	2.06E-07	1.66E-07	7.22E-08	6.01E-08
M7XJR5		7.99E-08	6.15E-08	5.04E-08		2.67E-08	4.33E-08	4.17E-08		1.90E-08	6.17E-08	7.20E-08
M7WW46		1.16E-07		8.00E-08	1.61E-07	1.41E-07	1.34E-07	9.76E-08		2.25E-07	6.88E-08	1.97E-07
M7XHL0	1.48E-07	1.05E-07		5.83E-08	1.39E-07	1.51E-07	7.24E-08	8.18E-08	3.42E-07	1.85E-07	7.93E-08	5.84E-08
M7WS79	2.51E-07		1.13E-07	1.08E-07	4.28E-07	3.11E-07	2.07E-07	2.62E-07		2.26E-07	1.45E-07	1.15E-07
M7XGF4	1.89E-07	1.73E-07		8.79E-08	1.50E-07	1.64E-07	1.49E-07	1.14E-07			1.05E-07	1.11E-07
M7XG05	4.78E-08	3.34E-08	5.61E-08	4.61E-08	5.13E-08	4.94E-08	5.28E-08	3.91E-08	7.05E-08	6.32E-08	4.59E-08	3.39E-08
M7WW13	2.89E-07	2.53E-07	1.62E-07	2.14E-07	1.71E-07	1.86E-07	1.33E-07	1.54E-07	2.97E-07	3.23E-07	1.57E-07	1.10E-07
M7WT71	2.09E-07	2.25E-07	2.22E-07	2.19E-07	2.34E-07	2.68E-07	1.56E-07	1.54E-07	2.58E-07	2.34E-07	1.83E-07	1.89E-07
M7X4F8	8.72E-08	1.17E-07			1.01E-07	1.35E-07	7.19E-08	7.46E-08			8.49E-08	
M7WWJ6				1.04E-06	1.08E-06		3.53E-07	6.85E-07			4.58E-07	6.01E-07
M7XI87	8.24E-08	1.08E-07	8.10E-08	8.93E-08	1.04E-07	1.08E-07	6.91E-08	6.47E-08	2.42E-07	2.26E-07	7.08E-08	7.71E-08
M7XYK8	1.41E-07	1.42E-07		4.97E-08	9.75E-08	7.43E-08	7.24E-08	5.22E-08	1.99E-07	1.90E-07	6.96E-08	5.01E-08
M7XI58		4.46E-07		2.87E-07	3.21E-07	3.06E-07	1.89E-07	1.39E-07			3.20E-07	2.48E-07
M7X5T6	1.59E-07	1.69E-07		7.32E-08	1.09E-07	9.05E-08	1.40E-07	1.09E-07			1.19E-07	7.69E-08
M7WPW6	3.90E-08	3.32E-08	5.27E-08	5.01E-08	6.82E-08	7.76E-08	4.66E-08	4.51E-08	1.34E-07	1.27E-07	6.70E-08	7.40E-08
M7WMQ8	1.34E-08		2.94E-08	3.05E-08	4.97E-08	5.21E-08	2.91E-08	2.48E-08	1.03E-07	9.00E-08	2.73E-08	2.40E-08
M7WTP5		8.45E-08	8.10E-08		2.90E-07	2.65E-07	1.51E-07	1.60E-07	2.42E-07	2.14E-07	1.10E-07	
M7WEJ4	1.33E-07	2.57E-07	6.90E-08	7.43E-08	5.64E-08	5.55E-08	3.14E-08		9.29E-08	9.45E-08	2.45E-08	4.31E-08
M7WWD0		7.53E-07		3.31E-07	3.43E-07	3.91E-07	3.39E-07	3.19E-07	5.56E-07		2.97E-07	3.01E-07
M7WLK8		8.56E-07	1.67E-07	2.08E-07		5.82E-07	1.39E-07	1.75E-07			4.02E-07	3.99E-07
M7XLV2							9.95E-07	1.56E-07				6.37E-09
M7WNN7	1.67E-07	1.72E-07	1.06E-07	1.20E-07	1.01E-07	1.46E-07	1.20E-07	1.07E-07	1.74E-07	1.73E-07	1.66E-07	1.18E-07
M7WW02	1.36E-07	5.45E-08	8.44E-08	8.16E-08	1.11E-07	1.28E-07	1.07E-07	7.11E-08	2.21E-07	2.37E-07	1.04E-07	7.60E-08
M7XL66	1.96E-07	1.86E-07	9.94E-08	1.03E-07	1.49E-07	1.76E-07	1.17E-07	1.14E-07	2.75E-07		1.14E-07	8.80E-08
M7WQH3	2.46E-07	3.42E-07		1.20E-07	2.01E-07	1.93E-07	1.31E-07	1.07E-07	3.13E-07	3.71E-07	1.22E-07	1.19E-07
M7WYA9		1.97E-07		1.14E-07	8.87E-07	7.97E-07	4.68E-07	3.60E-07			3.52E-07	3.32E-07
M7XGK6			1.43E-07	1.21E-07	1.40E-07	1.15E-07	8.63E-08	9.01E-08	8.59E-08		2.17E-07	1.86E-07
M7XB54	9.51E-08	1.24E-07	4.16E-08	4.91E-08	6.32E-08	6.33E-08	5.08E-08	4.41E-08	1.11E-07	1.07E-07	4.59E-08	3.70E-08
M7XQT8	2.73E-07	2.54E-07	7.18E-08	1.17E-07	1.00E-07	1.20E-07	1.10E-07	8.26E-08	2.92E-07	2.57E-07	1.53E-07	
M7X2Q8		2.18E-07			1.68E-07	1.35E-07	7.67E-08	5.83E-08				
M7WPM3	7.64E-08	5.39E-08	1.47E-08	1.79E-08	1.04E-07	1.06E-07	6.14E-08	4.60E-08	8.19E-08	6.63E-08	1.16E-08	1.43E-08
M7WXJ2	5.28E-08	8.95E-08	2.57E-08	2.59E-08	3.64E-08	3.57E-08	2.48E-08	2.49E-08	5.66E-08	7.14E-08	3.47E-08	3.32E-08
M7X080	3.74E-08	4.09E-08		2.57E-08	6.78E-08	8.04E-08	3.90E-08	4.55E-08	1.10E-07	1.07E-07	3.32E-08	3.47E-08
M7XG80	7.95E-07	8.79E-07	8.84E-07	8.09E-07	5.33E-07	5.83E-07	4.65E-07	5.24E-07	1.25E-06	1.16E-06	9.48E-07	7.81E-07
M7WU66	7.34E-08	7.47E-08	3.14E-08	3.23E-08	7.55E-08	8.47E-08	5.37E-08	4.30E-08	9.02E-08	1.07E-07	3.74E-08	2.70E-08
M7XX64	1.57E-07	2.03E-07	6.51E-08	6.20E-08	1.81E-07	1.97E-07	1.56E-07	1.53E-07	3.06E-07	3.02E-07	9.89E-08	9.40E-08
M7XUB0	1.16E-07	1.13E-07	6.75E-08	6.20E-08	9.70E-08	9.75E-08	6.32E-08	6.50E-08	1.71E-07	1.73E-07	7.82E-08	6.48E-08
M7X2D9	9.64E-08		1.45E-07	2.21E-07	1.18E-07	1.29E-07	6.94E-08	7.51E-08	3.04E-07	2.99E-07	3.12E-07	2.21E-07
M7XTT7		1.15E-07		6.09E-08	8.44E-08	1.36E-07	5.87E-08	7.90E-08			8.62E-08	1.00E-07
M7XMM2	3.45E-08	7.44E-08	4.66E-08	4.88E-08	6.93E-08	7.33E-08	5.46E-08	4.27E-08	1.30E-07	1.02E-07	6.71E-08	5.31E-08
M7X4I5	1.63E-07	1.86E-08		7.36E-08	9.74E-08	1.18E-07	7.33E-08	5.10E-08	2.26E-07	2.43E-07	7.30E-08	6.38E-08
M7XL37	9.42E-08	1.72E-07	6.19E-08	9.09E-08	3.46E-08		3.49E-08		2.21E-08		4.82E-08	2.98E-08
M7WLK7	2.56E-07	2.10E-07	1.54E-07	9.79E-08	1.42E-07	2.19E-07	1.14E-07	1.30E-07	1.93E-07	2.22E-07	1.20E-07	1.03E-07
M7X5P4		3.63E-07	1.98E-07	1.35E-07	3.81E-07	2.64E-07	1.57E-07	1.82E-07		5.18E-07	1.91E-07	1.85E-07
M7XMX4	3.76E-08	6.21E-08	3.51E-08	3.09E-08	9.45E-08	1.00E-07	6.20E-08	4.62E-08	1.43E-07	1.77E-07	3.56E-08	2.52E-08
M7WQP3	6.23E-08	7.42E-08	3.67E-08	3.07E-08	4.19E-08	4.51E-08	3.97E-08	3.15E-08	7.03E-08	7.72E-08	4.13E-08	2.77E-08
M7WTL8	4.22E-08	5.90E-08	5.61E-08	3.68E-08	6.58E-08	5.92E-08	3.36E-08	4.27E-08	1.49E-07	1.41E-07	3.32E-08	2.56E-08
M7XGL1	2.98E-07	2.48E-07	9.68E-08	1.27E-07	1.44E-07	1.32E-07	9.55E-08	3.69E-08	8.90E-08	1.36E-07	9.12E-08	8.92E-08
M7XJU9	7.98E-07	7.38E-07	4.51E-07	4.23E-07	4.67E-07	7.57E-07	4.32E-07	5.28E-07	8.24E-07	6.85E-07	5.34E-07	3.75E-07
M7WL50	3.33E-08	3.30E-08	1.99E-08	2.74E-08	2.16E-08	2.81E-08	2.26E-08	2.40E-08	3.91E-08	4.56E-08	3.10E-08	2.49E-08
M7X0X4				2.17E-07	1.35E-07	1.23E-07	1.03E-07	1.13E-07			1.99E-07	1.98E-07
M7WU23	2.78E-07	4.15E-07	1.35E-07	1.21E-07	1.47E-07	2.35E-07	6.44E-08	7.85E-08	2.66E-07	3.42E-07	1.13E-07	1.12E-07
M7XI53	3.08E-07	3.25E-07	1.71E-07	1.41E-07	1.80E-07	2.11E-07	1.41E-07	1.46E-07	2.07E-07	1.85E-07	1.61E-07	1.30E-07
M7WW75	8.29E-08		3.68E-08	3.22E-08	3.19E-07	4.15E-07	2.22E-07	1.26E-07	2.01E-07	2.18E-07		
M7XEB1	1.52E-07	7.96E-08	4.01E-08	2.35E-08	1.47E-07	1.31E-07	9.88E-08	7.24E-08	2.51E-07	2.05E-07	4.32E-08	
M7XCR6	1.86E-07	2.01E-07	8.42E-08	9.92E-08	1.37E-07	1.69E-07	1.18E-07	9.67E-08	2.21E-07	1.90E-07	9.64E-08	8.81E-08
M7WVC5	3.79E-08	4.54E-08	2.48E-08	2.68E-08	2.81E-08	3.28E-08	2.00E-08	2.05E-08	5.81E-08	5.75E-08	2.54E-08	2.25E-08
M7XUT1		7.66E-08	9.44E-08	1.00E-07	1.55E-07	1.34E-07		1.02E-07	2.18E-07	2.22E-07	1.63E-07	1.59E-07
M7X4K3	2.13E-07	1.90E-07		1.06E-07	2.47E-07	2.42E-07	1.58E-07	9.43E-08			1.36E-07	1.07E-07
M7WZ98	3.13E-07	3.37E-07	1.04E-07	1.07E-07	1.24E-07	8.55E-08	9.35E-08		3.91E-07	3.82E-07	9.42E-08	1.04E-07
M7X998	3.35E-07	2.97E-07		1.06E-07	2.76E-07	3.19E-07	1.24E-07	1.21E-07	3.81E-07	4.88E-07	9.96E-08	8.67E-08
M7WX71	4.52E-08	3.20E-08	2.55E-08	3.53E-08	3.60E-07	3.40E-07	1.85E-07	1.04E-07	2.34E-07	2.28E-07	6.16E-08	5.58E-08
M7X795		1.45E-07		3.24E-07	4.34E-07	3.90E-07	2.35E-07	2.35E-07	6.11E-07	5.73E-07	5.29E-07	6.23E-07
M7XWJ1	3.96E-08	7.95E-08	2.84E-08	2.72E-08	4.33E-08	4.32E-08	1.98E-08	1.82E-08	9.16E-08	1.02E-07	2.42E-08	1.88E-08
M7WWM7	1.25E-07	6.94E-08		5.58E-08	2.34E-07	1.85E-07	1.51E-07	1.78E-07	2.82E-07	3.04E-07	1.18E-07	1.01E-07
M7WQN8	1.41E-07	7.64E-08		4.04E-08	6.76E-08	6.34E-08	3.68E-08	2.69E-08	1.11E-07	1.19E-07	3.44E-08	2.49E-08
M7X5T2	3.67E-07	3.69E-07	1.74E-07	1.99E-07	1.49E-07	1.91E-07	1.37E-07	1.44E-07	3.29E-07	3.44E-07	1.57E-07	1.47E-07
M7WL75		7.29E-07		1.25E-07	6.80E-07	6.69E-07	2.41E-07	2.28E-07			1.53E-07	
M7X1R1	2.63E-08	3.45E-08	1.57E-08	1.11E-08	2.43E-08	2.45E-08	1.89E-08	1.94E-08	4.24E-08	3.69E-08	1.22E-08	1.10E-08
M7WTA4	3.07E-07	3.84E-07	2.34E-07	2.32E-07	3.15E-07	3.13E-07	1.31E-07	1.25E-07	1.07E-07	9.13E-08	1.11E-07	1.12E-07
